,Accident_code,Vehicle_type,Brand,Color,Years_license
622,2018S009533    ,Car,OPEL,Grey,51.0
623,2018S009533    ,Car,SKODA,Red,30.0
624,2018S009203    ,Bike,HONDA,Black,2.0
625,2018S009203    ,Bike,PEUGEOT,Blue,7.0
626,2018S005998    ,Bike,YAMAHA,Black,26.0
627,2018S003066    ,Bike,APRILIA,White,29.0
630,2018S006363    ,Car,LANCIA,Blue,20.0
631,2018S000541    ,Car,MERCEDES,Black,6.0
632,2018S000541    ,Car,VOLKSWAGEN,Grey,1.0
633,2018S000114    ,Car,AUDI,Black,4.0
636,2018S002845    ,Bike,HONDA,Black,10.0
637,2018S001907    ,Bike,KYMCO,Grey,35.0
639,2018S003353    ,Car,CITROEN,Grey,4.0
640,2018S003353    ,Car,RENAULT,Black,13.0
641,2018S007346    ,Bike,BMW,Grey,31.0
642,2018S006311    ,Bike,SUZUKI,Blue,1.0
643,2018S006311    ,Car,MITSUBISHI,Grey,3.0
644,2018S005104    ,Bike,HONDA,Grey,8.0
648,2018S000132    ,Bike,HONDA,Black,8.0
649,2018S006807    ,Car,TOYOTA,Grey,1.0
650,2018S007347    ,Car,PEUGEOT,Black,2.0
653,2018S009919    ,Bike,PIAGGIO,Black,2.0
654,2018S004546    ,Bike,HONDA,Black,12.0
655,2018S004546    ,Car,CHEVROLET,Grey,7.0
657,2018S008126    ,Car,RENAULT,White,4.0
658,2018S003741    ,Car,VOLKSWAGEN,Blue,4.0
659,2018S004523    ,Bike,HONDA,Black,2.0
660,2018S004523    ,Car,PEUGEOT,Black,5.0
661,2018S004629    ,Car,PEUGEOT,Grey,12.0
663,2018S007586    ,Car,FORD,Grey,6.0
664,2018S001138    ,Bike,HONDA,Grey,4.0
668,2018S008678    ,Car,NISSAN,Grey,1.0
669,2018S002814    ,Bike,KYMCO,Black,2.0
671,2018S003181    ,Bike,PEUGEOT,Red,6.0
672,2018S000342    ,Bike,BENELLI,Black,5.0
674,2018S003590    ,Car,SMART,Black,58.0
675,2018S006312    ,Car,VOLKSWAGEN,Blue,2.0
677,2018S005966    ,Car,MAZDA,Grey,4.0
679,2018S009171    ,Bike,YAMAHA,Blue,27.0
680,2018S003520    ,Bike,KYMCO,White,15.0
681,2018S003520    ,Car,SEAT,White,3.0
687,2018S009777    ,Car,VOLKSWAGEN,Black,18.0
688,2018S003108    ,Bike,KYMCO,Black,22.0
690,2018S000981    ,Bike,SYM,Black,40.0
691,2018S000981    ,Car,VOLKSWAGEN,Grey,46.0
692,2018S000343    ,Car,KIA,Blue,12.0
693,2018S004962    ,Bike,YAMAHA,Black,8.0
694,2018S004962    ,Car,FORD,Blue,4.0
695,2018S000724    ,Bike,YAMAHA,Grey,4.0
698,2018S002666    ,Bike,YAMAHA,Black,19.0
700,2018S002844    ,Car,PEUGEOT,Black,4.0
707,2018S003022    ,Car,BMW,Black,30.0
708,2018S003022    ,Car,OPEL,White,14.0
709,2018S003022    ,Car,VOLVO,Golden,6.0
710,2018S006274    ,Car,VOLKSWAGEN,Grey,20.0
712,2018S005999    ,Bike,PIAGGIO,Black,5.0
714,2018S007930    ,Car,HONDA,Black,48.0
715,2018S006618    ,Car,NISSAN,Grey,6.0
716,2018S006618    ,Car,NISSAN,Grey,39.0
717,2018S000423    ,Car,RENAULT,Black,2.0
722,2018S006346    ,Bike,HONDA,Black,22.0
723,2018S009008    ,Car,RENAULT,White,10.0
724,2018S002222    ,Bike,HUSQVARNA,Red,16.0
726,2018S000544    ,Bike,YAMAHA,Grey,9.0
727,2018S000544    ,Car,AUDI,Red,13.0
729,2018S000514    ,Car,OPEL,Red,11.0
731,2018S005648    ,Car,HONDA,Grey,1.0
732,2018S003095    ,Bike,BMW,Black,1.0
734,2018S005465    ,Bike,SCUTUM,Black,18.0
736,2018S002399    ,Bike,KYMCO,White,2.0
739,2018S006031    ,Car,VOLVO,Grey,1.0
744,2018S005806    ,Car,SEAT,Black,12.0
745,2018S009492    ,Bike,HONDA,Black,32.0
747,2018S008570    ,Bike,SUZUKI,Black,23.0
750,2018S006088    ,Car,SEAT,White,21.0
751,2018S003651    ,Car,FORD,Black,2.0
752,2018S003651    ,Car,VOLKSWAGEN,White,25.0
754,2018S000687    ,Car,OPEL,White,1.0
755,2018S009172    ,Bike,YAMAHA,Grey,34.0
758,2018S009532    ,Car,AUDI,Blue,10.0
759,2018S006628    ,Bike,HONDA,Grey,14.0
760,2018S006628    ,Car,PEUGEOT,Silver,9.0
761,2018S000001    ,Car,PEUGEOT,Grey,19.0
763,2018S000001    ,Car,SUZUKI,Grey,36.0
765,2018S008630    ,Car,BMW,Blue,5.0
766,2018S004605    ,Bike,SUZUKI,Black,3.0
770,2018S003112    ,Car,BMW,Black,13.0
771,2018S009577    ,Car,SEAT,Blue,17.0
772,2018S005870    ,Bike,SYM,White,45.0
773,2018S005870    ,Car,KIA,Black,7.0
776,2018S000133    ,Car,FORD,Blue,29.0
777,2018S000133    ,Car,RENAULT,Grey,51.0
780,2018S004166    ,Car,KIA,Grey,11.0
782,2018S005237    ,Car,VOLKSWAGEN,Blue,14.0
783,2018S000344    ,Car,SEAT,Green,31.0
784,2018S000344    ,Car,SEAT,Yellow,5.0
785,2018S008410    ,Car,FIAT,White,2.0
786,2018S000725    ,Car,OPEL,Grey,1.0
789,2018S002147    ,Car,RENAULT,Grey,3.0
791,2018S005445    ,Bike,HONDA,Black,4.0
793,2018S008357    ,Car,KIA,Blue,35.0
796,2018S002647    ,Car,FORD,Red,11.0
798,2018S008981    ,Car,MERCEDES,Grey,1.0
802,2018S005464    ,Car,SEAT,Green,11.0
804,2018S000950    ,Bike,KYMCO,Black,2.0
805,2018S000950    ,Car,FIAT,Red,8.0
807,2018S006310    ,Bike,MASH,Black,5.0
810,2018S000518    ,Car,BMW,Green,2.0
811,2018S009295    ,Bike,HONDA,White,10.0
814,2018S001449    ,Car,RENAULT,Grey,4.0
816,2018S006547    ,Bike,SUZUKI,Grey,13.0
819,2018S007587    ,Car,OPEL,Grey,1.0
821,2018S008358    ,Car,DAEWOO,Blue,1.0
822,2018S002340    ,Bike,PIAGGIO,Black,2.0
823,2018S002340    ,Car,LANDROVER,White,4.0
824,2018S004838    ,Bike,KYMCO,White,19.0
825,2018S004838    ,Car,SEAT,Red,15.0
829,2018S005554    ,Car,AUDI,Red,4.0
830,2018S004293    ,Bike,HONDA,Black,28.0
832,2018S002338    ,Bike,SYM,White,4.0
835,2018S003715    ,Car,KIA,Black,2.0
836,2018S000341    ,Bike,SUMCO,Black,6.0
837,2018S002312    ,Car,SEAT,White,18.0
838,2018S002312    ,Car,HYUNDAI,Blue,2.0
840,2018S006063    ,Car,LEXUS,Black,12.0
842,2018S009778    ,Bike,SUZUKI,White,6.0
848,2018S000728    ,Car,SEAT,Black,5.0
850,2018S006949    ,Bike,BUELL,Grey,27.0
851,2018S006949    ,Car,RENAULT,Grey,7.0
852,2018S006949    ,Car,SUZUKI,White,3.0
855,2018S001113    ,Bike,EMCO,Green,2.0
856,2018S005238    ,Bike,BMW,Yellow,13.0
857,2018S003652    ,Car,AUDI,Grey,5.0
858,2018S008790    ,Bike,KYMCO,Black,8.0
859,2018S008790    ,Car,PEUGEOT,White,6.0
860,2018S008631    ,Bike,BENELLI,Black,5.0
861,2018S008631    ,Car,SKODA,Blue,11.0
865,2018S002341    ,Car,MERCEDES,Grey,33.0
866,2018S005317    ,Car,KIA,White,2.0
867,2018S005868    ,Bike,SUZUKI,Grey,1.0
871,2018S000650    ,Car,VOLKSWAGEN,Black,3.0
873,2018S001534    ,Car,TOYOTA,White,16.0
875,2018S000267    ,Car,VOLKSWAGEN,White,8.0
877,2018S004269    ,Car,SEAT,Grey,24.0
878,2018S004269    ,Car,FIAT,Grey,2.0
880,2018S006957    ,Car,RENAULT,Black,25.0
883,2018S001947    ,Car,SEAT,Blue,10.0
884,2018S007555    ,Bike,SUZUKI,White,14.0
892,2018S001297    ,Bike,YAMAHA,Black,9.0
893,2018S001297    ,Car,SKODA,Black,2.0
898,2018S007559    ,Car,KIA,Grey,8.0
899,2018S009174    ,Bike,HONDA,Grey,22.0
900,2018S009174    ,Car,KIA,Blue,9.0
905,2018S007798    ,Car,BMW,Black,5.0
